City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,35.19,83,100,18.99,US,1704936588
1,isafjordur,66.0755,-23.124,40.19,83,39,13.18,IS,1704937070
2,punta arenas,-53.15,-70.9167,51.91,76,40,23.02,CL,1704937070
3,jinghong,21.991,100.7341,65.84,47,16,1.79,CN,1704937071
4,port-aux-francais,-49.35,70.2167,42.76,89,99,25.23,TF,1704937072
5,tazovsky,67.4667,78.7,-4.0,84,100,25.21,RU,1704937073
6,bodaybo,57.8506,114.1933,-22.29,99,83,1.12,RU,1704937073
7,woolgoolga,-30.1106,153.2007,86.04,71,95,9.13,AU,1704937074
8,kuchinda,21.7333,84.35,65.97,66,22,3.29,IN,1704937074
9,saint-joseph,-21.3667,55.6167,75.58,79,61,11.61,RE,1704937075
10,grytviken,-54.2811,-36.5092,38.64,96,94,9.19,GS,1704937077
11,salinas,36.6777,-121.6555,53.55,93,100,9.22,US,1704936867
12,colares,38.7992,-9.4469,55.33,92,74,10.0,PT,1704937078
13,ewo,-0.8725,14.8206,75.69,84,100,7.14,CG,1704937078
14,nova olinda do norte,-3.8881,-59.0942,74.37,98,100,2.42,BR,1704937079
15,bethel,41.3712,-73.414,44.76,60,40,10.36,US,1704937080
16,palikir - national government center,6.9248,158.1611,86.85,74,75,11.5,FM,1704937080
17,port elizabeth,-33.918,25.5701,67.32,98,100,3.44,ZA,1704937026
18,invercargill,-46.4,168.35,66.02,81,100,8.99,NZ,1704937081
19,longyearbyen,78.2186,15.6401,12.04,85,100,12.66,SJ,1704937082
20,chonchi,-42.6128,-73.8092,56.41,94,13,4.25,CL,1704937082
21,sanandaj,35.3144,46.9923,33.82,93,75,2.3,IR,1704936890
22,paita,-5.0892,-81.1144,74.46,82,82,11.41,PE,1704937084
23,bereznik,62.8551,42.7072,8.11,97,100,2.57,RU,1704937084
24,uturoa,-16.7333,-151.4333,82.67,77,100,13.24,PF,1704937085
25,laguna,38.421,-121.4238,55.69,84,100,16.11,US,1704937085
26,albany,42.6001,-73.9662,39.16,72,91,1.01,US,1704937086
27,waitangi,-43.9535,-176.5597,64.81,79,100,18.59,NZ,1704937086
28,luderitz,-26.6481,15.1594,60.6,90,5,13.56,NA,1704937087
29,iqaluit,63.7506,-68.5145,-24.07,69,20,3.44,CA,1704937081
30,atafu village,-8.5421,-172.5159,84.7,72,71,9.51,TK,1704937089
31,huarmey,-10.0681,-78.1522,73.53,82,100,7.43,PE,1704937089
32,thunder bay,48.4001,-89.3168,13.98,79,100,9.22,CA,1704936841
33,port mathurin,-19.6833,63.4167,82.62,75,5,7.87,MU,1704937090
34,dudhi,24.2167,83.25,55.81,52,0,3.0,IN,1704937091
35,badger,64.8,-147.5333,-7.35,77,20,8.05,US,1704936991
36,opuwo,-18.0607,13.84,66.67,39,100,5.01,NA,1704937092
37,geraldton,-28.7667,114.6,79.21,65,100,18.41,AU,1704937093
38,georgetown,5.4112,100.3354,82.94,84,20,5.75,MY,1704937093
39,sitka,57.0531,-135.33,31.89,37,100,9.22,US,1704937094
40,papatowai,-46.5619,169.4708,66.13,65,82,9.8,NZ,1704937094
41,haiku-pauwela,20.9219,-156.3051,79.03,66,40,23.02,US,1704937095
42,tarakan,3.3,117.6333,85.5,89,20,6.91,ID,1704937095
43,constantia,44.1833,28.65,21.88,81,8,13.15,RO,1704937096
44,ust-nera,64.5667,143.2,-46.55,97,86,2.98,RU,1704937096
45,college,64.8569,-147.8028,-7.28,77,20,8.05,US,1704937097
46,simanggang,1.2472,111.4528,78.78,94,20,2.3,MY,1704937099
47,blackmans bay,-43.0167,147.3167,73.53,45,8,2.77,AU,1704937100
48,pangody,65.85,74.4859,0.88,95,100,25.99,RU,1704937100
49,wailua homesteads,22.0669,-159.378,72.39,76,20,9.22,US,1704937101
50,sinabang,2.4803,96.3801,81.88,79,100,4.47,ID,1704937102
51,minas de marcona,-15.2119,-75.1103,63.86,86,62,11.59,PE,1704937103
52,cidade velha,14.9167,-23.6167,70.27,78,20,8.05,CV,1704937103
53,el calafate,-50.3408,-72.2768,52.81,74,86,12.41,AR,1704937104
54,okhotsk,59.3833,143.3,-22.85,82,48,8.39,RU,1704937105
55,afaahiti,-17.75,-149.2833,82.27,80,100,17.87,PF,1704937105
56,soio,-6.1349,12.3689,79.74,79,64,8.1,AO,1704937107
57,carnarvon,-24.8667,113.6333,78.85,64,0,18.97,AU,1704937107
58,puerto deseado,-47.7503,-65.8938,53.1,58,41,4.61,AR,1704937108
59,margaret river,-33.95,115.0667,72.55,51,100,9.69,AU,1704937108
60,edinburgh of the seven seas,-37.0676,-12.3116,60.84,83,100,1.32,SH,1704937109
61,belmonte,-15.8631,-38.8828,76.68,84,99,5.77,BR,1704937109
62,nabire,-3.3667,135.4833,81.25,78,100,1.61,ID,1704937110
63,adamstown,-25.066,-130.1015,76.44,82,55,11.01,PN,1704937110
64,tadine,-21.55,167.8833,83.37,69,6,8.93,NC,1704937111
65,fisterra,42.9049,-9.2629,46.74,65,27,14.63,ES,1704937111
66,hoopeston,40.4673,-87.6684,31.8,79,57,13.02,US,1704937112
67,stanley,54.868,-1.6985,40.77,92,75,9.22,GB,1704937112
68,raigarh,21.9,83.4,66.97,66,11,3.44,IN,1704937113
69,khovd,48.0056,91.6419,19.94,71,79,9.26,MN,1704937113
70,gadzhiyevo,69.2551,33.3362,22.46,71,100,23.02,RU,1704937115
71,saipan,15.1355,145.701,84.9,74,40,8.05,MP,1704937116
72,port douglas,-16.4833,145.4667,79.52,84,100,3.31,AU,1704937116
73,fale old settlement,-9.3852,-171.2468,84.72,71,100,10.27,TK,1704937117
74,utrik,11.2278,169.8474,80.17,80,53,22.82,MH,1704937117
75,san patricio,28.017,-97.5169,66.06,83,78,7.63,US,1704937118
76,bilibino,68.0546,166.4372,-39.53,99,34,4.12,RU,1704937118
77,ushuaia,-54.8,-68.3,47.86,76,75,34.52,AR,1704937092
78,cox's bazar,21.4532,91.9798,64.54,62,56,10.78,BD,1704937119
79,ishqoshim,36.7248,71.6133,28.72,37,100,3.15,TJ,1704937120
80,shar'ya,58.3686,45.5144,3.97,91,100,8.99,RU,1704937121
81,chibougamau,49.9168,-74.3659,19.02,93,100,4.61,CA,1704937121
82,whitehorse,60.7161,-135.0538,-12.23,77,0,4.61,CA,1704937122
83,west island,-12.1568,96.8225,78.78,94,100,5.75,CC,1704937123
84,tofol,5.3248,163.0078,82.24,76,95,18.84,FM,1704937124
85,chui,-33.6971,-53.4616,71.2,97,100,5.14,UY,1704937124
86,altay,47.8667,88.1167,30.87,89,100,1.95,CN,1704937125
87,itoman,26.1247,127.6694,63.37,49,75,21.85,JP,1704937125
88,harper,4.375,-7.7169,79.2,84,56,10.6,LR,1704937126
89,qaqortoq,60.7167,-46.0333,28.08,95,92,3.13,GL,1704937127
90,cherepanovo,54.2222,83.381,6.33,88,100,21.12,RU,1704937127
91,happy valley-goose bay,53.3168,-60.3315,7.11,61,100,4.61,CA,1704937128
92,pariaman,-0.619,100.12,80.65,89,100,6.15,ID,1704937129
93,port alfred,-33.5906,26.891,68.18,97,99,4.63,ZA,1704937130
94,daru,-9.0763,143.2092,85.51,66,100,3.4,PG,1704937130
95,polyarnyy,69.1989,33.4478,22.28,73,100,21.9,RU,1704937131
96,kizilcahamam,40.4697,32.6506,31.62,85,88,5.77,TR,1704937131
97,neiafu,-18.65,-173.9833,88.48,66,20,9.22,TO,1704937133
98,guiyang,26.5833,106.7167,45.09,100,100,4.47,CN,1704937134
99,trairi,-3.2778,-39.2689,80.44,75,7,8.34,BR,1704937135
100,quiberon,47.4841,-3.1196,34.07,79,41,10.0,FR,1704937135
101,dunedin,-45.8742,170.5036,82.08,32,100,3.09,NZ,1704937136
102,puerto baquerizo moreno,-0.9,-89.6,76.68,82,31,7.18,EC,1704937136
103,puerto natales,-51.7236,-72.4875,46.81,91,100,6.98,CL,1704937137
104,magadan,59.5667,150.8,-7.31,86,93,4.76,RU,1704937137
105,wickenburg,33.9686,-112.7296,47.44,39,9,5.64,US,1704937138
106,rio grande,-32.035,-52.0986,74.95,87,100,6.58,BR,1704937045
